Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E2,08/08/15,Burton,Scunthorpe,2,1,H,0,0,D,K Wright,16,11,7,1,12,10,4,3,1,1,0,1,2.3,3.4,3.4,2.2,3.2,3,2.1,3.1,3,2.3,3.3,3.2,2.3,3.38,3.34,2.3,3.2,3.2,2.3,3.4,3.3,43,2.31,2.24,3.41,3.25,3.4,3.14,42,2.16,2.04,1.82,1.74,25,-0.25,1.99,1.93,1.94,1.88
E2,08/08/15,Chesterfield,Barnsley,3,1,H,0,1,A,A Woolmer,19,8,7,4,11,7,14,1,2,1,0,0,2.15,3.6,3.6,2,3.25,3.4,2.1,3.1,3,2.25,3.3,3.3,2.22,3.48,3.43,2.25,3.1,3.4,2.2,3.6,3.4,43,2.25,2.15,3.6,3.28,3.6,3.3,42,2.13,2.02,1.83,1.75,25,-0.25,1.93,1.87,2.02,1.94
E2,08/08/15,Colchester,Blackpool,2,2,D,1,2,A,J Linington,18,8,10,2,8,7,7,5,0,1,0,0,2.3,3.5,3.3,2.15,3.3,3,2.2,3.1,2.8,2.3,3.3,3.2,2.24,3.44,3.41,2.3,3.2,3.2,2.25,3.5,3.4,43,2.3,2.2,3.5,3.27,3.41,3.22,42,2.09,2,1.86,1.77,25,-0.25,1.94,1.88,2.01,1.93
E2,08/08/15,Coventry,Wigan,2,0,H,1,0,H,S Duncan,10,13,4,3,10,10,3,6,2,3,0,0,3.1,3.3,2.5,2.9,3.1,2.3,2.8,3.1,2.2,3,3.25,2.5,3.25,3.29,2.39,3.1,3.1,2.4,3.1,3.3,2.5,43,3.25,2.99,3.4,3.15,2.5,2.38,40,2.35,2.18,1.73,1.64,25,0.25,1.85,1.78,2.12,2.05
E2,08/08/15,Crewe,Port Vale,0,0,D,0,0,D,D Whitestone,5,13,2,6,9,13,3,10,1,0,0,0,2.55,3.5,2.9,2.3,3.25,2.8,2.3,3.1,2.6,2.5,3.25,2.9,2.58,3.39,2.87,2.62,3.1,2.8,2.55,3.5,2.88,43,2.62,2.47,3.5,3.25,2.94,2.77,42,2.13,2.02,1.83,1.75,23,-0.25,2.22,2.13,1.76,1.72
E2,08/08/15,Doncaster,Bury,1,1,D,0,0,D,E Ilderton,10,15,4,7,4,10,5,4,0,2,0,0,2.25,3.4,3.5,2.15,3.3,3,2,3.2,3.1,2.25,3.25,3.3,2.22,3.39,3.51,2.25,3.1,3.4,2.25,3.4,3.5,43,2.25,2.16,3.4,3.25,3.51,3.29,42,2.2,2.07,1.78,1.72,25,-0.25,1.92,1.87,2.02,1.94
E2,08/08/15,Fleetwood Town,Southend,1,1,D,1,0,H,D Webb,7,8,3,5,10,6,6,5,2,1,0,0,2.35,3.4,3.3,2.2,3.25,2.95,2.1,3.1,3,2.25,3.25,3.4,2.33,3.37,3.28,2.4,3.1,3.1,2.4,3.4,3.2,43,2.41,2.29,3.4,3.2,3.4,3.08,37,2.23,2.12,1.73,1.68,25,-0.25,2.08,1.99,1.9,1.83
E2,08/08/15,Gillingham,Sheffield United,4,0,H,2,0,H,L Collins,19,5,7,3,8,7,8,7,0,1,0,0,3.5,3.4,2.25,3.1,3.2,2.15,3,3.1,2.1,3.3,3.25,2.25,3.69,3.42,2.14,3.4,3.1,2.25,3.5,3.4,2.2,43,3.84,3.39,3.42,3.26,2.25,2.13,42,2.13,2.03,1.87,1.74,25,0.25,2.12,2,1.9,1.82
E2,08/08/15,Rochdale,Peterboro,2,0,H,1,0,H,A Haines,10,11,4,2,7,7,8,7,1,1,0,0,2.75,3.4,2.7,2.55,3.25,2.5,2.5,3,2.5,2.7,3.25,2.7,2.68,3.38,2.77,2.7,3.1,2.7,2.7,3.4,2.75,43,2.75,2.63,3.4,3.23,2.77,2.62,42,1.98,1.9,1.94,1.86,26,0,1.97,1.9,1.99,1.9
E2,08/08/15,Shrewsbury,Millwall,1,2,A,0,0,D,C Breakspear,5,9,1,7,18,17,4,5,4,1,0,0,2.4,3.4,3.2,2.2,3.1,3.1,2.4,3.1,2.5,2.45,3.25,3,2.39,3.27,3.27,2.4,3.1,3.1,2.38,3.4,3.25,43,2.45,2.33,3.4,3.18,3.27,3.04,40,2.26,2.13,1.8,1.68,24,0,1.75,1.68,2.29,2.18
E2,08/08/15,Swindon,Bradford,4,1,H,0,1,A,S Martin,15,6,6,3,9,14,3,5,3,2,0,0,2.5,3.4,3,2.25,3.1,3,2.2,3.1,2.8,2.4,3.25,3.1,2.39,3.37,3.18,2.5,3.1,3,2.45,3.4,3.1,43,2.5,2.35,3.4,3.23,3.18,2.97,42,2.07,1.97,2,1.79,25,-0.25,2.08,2.01,1.87,1.81
E2,08/08/15,Walsall,Oldham,1,1,D,1,0,H,M Brown,8,9,5,3,11,18,1,3,0,0,0,0,2.1,3.5,3.8,2.05,3.2,3.3,2.1,3.1,3,2.2,3.25,3.5,2.12,3.39,3.8,2.15,3.2,3.6,2.1,3.5,3.75,43,2.25,2.08,3.5,3.26,3.8,3.5,37,2.26,2.13,1.75,1.67,25,-0.25,1.87,1.8,2.1,2.02
E2,15/08/15,Barnsley,Burton,1,0,H,0,0,D,J Simpson,3,12,2,5,9,10,2,9,1,1,0,0,2.3,3.4,3.4,2.3,3.1,2.95,2,3.2,3.1,2.3,3.3,3.1,2.35,3.42,3.2,2.3,3.2,3.2,2.38,3.4,3.2,45,2.38,2.25,3.42,3.24,3.5,3.13,44,2.12,2.03,1.85,1.74,27,-0.25,2.06,1.95,1.91,1.87
E2,15/08/15,Blackpool,Rochdale,0,2,A,0,0,D,D Drysdale,6,15,2,6,6,10,6,6,2,1,0,0,3,3.4,2.5,2.75,3.2,2.35,2.5,3,2.5,2.8,3.4,2.4,3.09,3.38,2.46,2.9,3.2,2.3,3.1,3.5,2.4,45,3.1,2.91,3.5,3.26,2.5,2.36,44,2.08,1.96,1.9,1.81,25,0.25,1.86,1.79,2.13,2.03
E2,15/08/15,Bradford,Shrewsbury,1,1,D,1,0,H,G Sutton,12,6,4,3,14,14,6,2,1,2,0,0,2.25,3.5,3.4,2,3.25,3.4,1.9,3.2,3.4,2.3,3.3,3.2,2.29,3.4,3.33,2.3,3.2,3.2,2.3,3.5,3.3,45,2.3,2.2,3.5,3.26,3.5,3.24,39,2.15,2.06,1.79,1.72,25,-0.25,1.98,1.91,1.97,1.9
E2,15/08/15,Bury,Swindon,2,2,D,1,0,H,C Boyeson,13,7,8,2,18,11,3,4,1,2,0,0,2.3,3.5,3.25,2.2,3.25,2.95,2.2,3.1,2.8,2.4,3.3,3,2.44,3.48,3,2.3,3.2,3.2,2.45,3.5,3,45,2.45,2.31,3.5,3.28,3.3,2.99,44,1.97,1.89,1.96,1.87,27,-0.25,2.1,2,1.87,1.82
E2,15/08/15,Millwall,Coventry,0,4,A,0,3,A,A Woolmer,13,12,6,7,18,4,7,4,5,2,0,0,2.15,3.4,3.75,2,3.2,3.5,1.8,3.3,3.6,2.1,3.3,3.6,2.15,3.38,3.71,2.25,3.2,3.3,2.15,3.5,3.7,45,2.25,2.09,3.5,3.24,3.75,3.52,44,2.22,2.13,1.76,1.68,27,-0.5,2.15,2.09,1.81,1.76
E2,15/08/15,Oldham,Fleetwood Town,1,0,H,1,0,H,C Sarginson,10,15,2,9,8,12,3,10,0,2,0,0,2.25,3.4,3.5,2.2,3.1,3.1,2.2,3.1,2.8,2.38,3.3,3,2.32,3.37,3.31,2.3,3.2,3.2,2.3,3.4,3.4,45,2.38,2.24,3.4,3.21,3.5,3.2,39,2.2,2.12,1.75,1.68,27,-0.25,2,1.91,1.98,1.91
E2,15/08/15,Peterboro,Colchester,2,1,H,2,1,H,M Haywood,9,8,4,3,6,6,4,5,2,1,0,0,2,3.6,4,1.8,3.4,4,1.7,3.4,3.9,2,3.5,3.75,1.97,3.66,4,2,3.2,4,2,3.75,3.9,45,2,1.92,3.75,3.45,4.06,3.83,44,1.91,1.83,2.02,1.93,28,-0.5,1.98,1.93,1.95,1.89
E2,15/08/15,Port Vale,Gillingham,1,1,D,1,1,D,F Graham,10,9,4,5,13,15,4,2,1,6,0,0,2.4,3.4,3.2,2.2,3.2,3,2.3,3.1,2.6,2.4,3.3,3,2.45,3.38,3.08,2.4,3.1,3.1,2.45,3.4,3,45,2.45,2.34,3.5,3.25,3.2,2.97,44,2.03,1.91,1.95,1.85,26,-0.25,2.11,2.03,1.83,1.79
E2,15/08/15,Scunthorpe,Crewe,2,0,H,1,0,H,T Kettle,11,12,4,4,16,12,8,6,2,2,0,0,1.7,4,5.5,1.65,3.6,4.6,1.65,3.4,4.2,1.75,3.75,4.33,1.74,3.91,5.05,1.7,3.75,5,1.75,4,5,45,1.75,1.67,4,3.74,5.5,4.85,44,1.91,1.83,2.02,1.93,27,-0.75,1.96,1.88,2,1.94
E2,15/08/15,Sheffield United,Chesterfield,2,0,H,1,0,H,K Wright,9,11,5,2,18,12,2,14,2,2,0,0,1.95,3.6,4.33,1.9,3.4,3.6,1.75,3.4,3.7,2,3.4,3.75,1.97,3.56,4.13,1.91,3.3,3.8,1.95,3.6,4.1,45,2.05,1.92,3.6,3.38,4.33,3.87,44,2.05,1.96,1.93,1.81,28,-0.5,2,1.93,1.96,1.89
E2,15/08/15,Southend,Walsall,0,2,A,0,1,A,A Davies,13,17,3,8,14,11,4,6,2,2,0,0,2.25,3.4,3.5,2.1,3.2,3.2,2,3.2,3.1,2.3,3.3,3.2,2.31,3.36,3.33,2.3,3.2,3.2,2.3,3.4,3.3,45,2.35,2.22,3.4,3.2,3.5,3.23,39,2.27,2.14,1.71,1.66,27,-0.25,2.02,1.93,1.94,1.89
E2,16/08/15,Wigan,Doncaster,0,0,D,0,0,D,D Webb,9,10,4,4,16,12,3,14,2,0,0,0,2.15,3.4,3.8,1.87,3.4,3.7,1.8,3.3,3.6,2,3.4,3.75,2.1,3.42,3.74,2.1,3.2,3.75,2.15,3.4,3.7,44,2.15,2.04,3.5,3.26,4,3.59,43,2.22,2.1,1.8,1.7,26,-0.5,2.15,2.07,1.83,1.77
E2,18/08/15,Blackpool,Burton,1,2,A,1,0,H,G Eltringham,12,18,6,8,9,13,3,6,0,0,0,0,3.25,3.5,2.3,2.8,3.3,2.25,2.5,3,2.5,3.1,3.4,2.3,3.44,3.42,2.24,3.1,3.3,2.3,3.3,3.5,2.3,40,3.44,3.16,3.5,3.27,2.5,2.23,38,2.21,2.09,1.76,1.7,25,0.25,1.99,1.9,1.96,1.91
E2,18/08/15,Bradford,Gillingham,1,2,A,1,0,H,D Handley,7,14,4,4,8,15,2,7,1,3,0,0,2.1,3.5,3.75,1.95,3.3,3.5,2.1,3.1,3,2.1,3.4,3.5,2.11,3.51,3.69,2.1,3.3,3.6,2.1,3.5,3.75,40,2.11,2.05,3.51,3.35,3.85,3.52,39,2.06,1.98,1.87,1.78,25,-0.5,2.12,2.03,1.85,1.79
E2,18/08/15,Bury,Fleetwood Town,3,4,A,2,2,D,J Adcock,6,8,5,5,19,6,3,21,2,1,0,0,2,3.6,4,1.95,3.25,3.6,2,3.2,3.1,1.95,3.5,4,1.98,3.52,4.15,1.91,3.2,4.33,2,3.6,4.1,40,2,1.93,3.6,3.36,4.33,3.9,38,2.17,2.06,1.8,1.72,26,-0.5,2,1.93,1.94,1.88
E2,18/08/15,Colchester,Oldham,0,0,D,0,0,D,K Hill,9,2,2,1,16,15,5,6,1,1,0,0,2.38,3.4,3.25,2.2,3.25,2.95,2.2,3.1,2.8,2.4,3.4,2.88,2.37,3.42,3.16,2.3,3.3,3.1,2.38,3.4,3.13,40,2.4,2.28,3.43,3.28,3.25,3.03,39,2.04,1.96,1.9,1.81,25,-0.25,2.05,1.98,1.89,1.84
E2,18/08/15,Coventry,Crewe,3,2,H,1,1,D,T Robinson,27,6,9,3,12,15,7,1,0,0,0,0,1.62,4.2,6,1.6,3.6,5,1.6,3.5,4.5,1.62,4,5.5,1.59,4.18,6.14,1.62,3.8,5.5,1.62,4.2,6,40,1.63,1.57,4.2,3.89,6.14,5.64,39,1.92,1.85,2,1.91,26,-1,2.13,2.01,1.88,1.81
E2,18/08/15,Millwall,Barnsley,2,3,A,1,1,D,D Whitestone,10,12,3,5,13,11,7,6,1,2,0,0,2.2,3.4,3.6,2.1,3.25,3.2,2.2,3.1,2.8,2.1,3.4,3.5,2.14,3.42,3.71,2.15,3.25,3.5,2.2,3.4,3.6,39,2.25,2.12,3.42,3.28,3.71,3.39,37,2.17,2.07,1.79,1.71,24,-0.25,1.87,1.82,2.08,2
E2,18/08/15,Peterboro,Sheffield United,1,3,A,0,1,A,N Miller,21,19,3,4,9,10,2,5,5,2,0,0,2.8,3.4,2.7,2.5,3.2,2.6,2.3,3.1,2.6,2.7,3.25,2.7,2.87,3.34,2.61,2.7,3.1,2.7,2.88,3.4,2.63,40,2.88,2.72,3.4,3.21,2.7,2.55,39,2.08,1.98,1.85,1.78,26,0,2.05,1.97,1.9,1.83
E2,18/08/15,Rochdale,Walsall,1,2,A,0,0,D,D Webb,8,11,4,6,13,4,4,4,1,1,0,0,2.4,3.4,3.2,2.2,3.2,3,2.1,3.1,3,2.25,3.4,3.2,2.42,3.35,3.15,2.4,3.1,3.1,2.45,3.4,3.13,40,2.45,2.32,3.4,3.23,3.2,3.03,38,2.14,2.05,1.8,1.73,25,-0.25,2.1,2.01,1.86,1.81
E2,18/08/15,Shrewsbury,Chesterfield,1,2,A,0,0,D,M Heywood,10,11,3,2,9,6,0,4,2,1,0,0,2.4,3.4,3.2,2.35,3.2,2.8,2.3,3.1,2.6,2.38,3.4,3,2.42,3.38,3.12,2.38,3.25,3,2.5,3.4,3,40,2.5,2.36,3.4,3.23,3.2,2.96,38,2.14,2.06,1.79,1.72,25,-0.25,2.11,2.03,1.85,1.79
E2,18/08/15,Swindon,Port Vale,2,2,D,1,1,D,B Malone,7,10,3,3,11,12,2,7,2,3,0,0,1.91,3.6,4.5,1.85,3.4,3.75,1.75,3.4,3.7,1.83,3.5,4.33,1.96,3.67,4.04,1.83,3.4,4.5,2,3.6,4,40,2,1.89,3.67,3.45,4.5,3.95,39,2,1.89,1.97,1.87,26,-0.5,1.98,1.91,1.95,1.9
